,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Gelderland Expected Annual Damage,Overijssel Expected Annual Damage,Expected Number of Deaths,Gelderland Dike Cost,Overijssel Dike Cost,Room for River Investment Costs,Evacuation Costs,condition
0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,1.0,0.0,7.0,0.0,0.0,7.0,3.0,0.0,7.0,3.0,7.0,9.0,4.0,0.0,19,4500,dikesnet,2592117.84331491,0.0,0.0008454400635153332,1462841228.8499205,491383289.40522426,673800000.0,168.47052929648729,2592117.84416035
0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,7.0,0.0,2.0,7.0,0.0,0.0,7.0,1.0,5.0,7.0,4.0,0.0,19,1088,dikesnet,3444759.8666044,0.0,0.008164548490332211,1554525091.7580135,432104827.9963805,795000000.0,0.0,3444759.874768948
